Season,Lowest temperature (C),Sunshine duration (hours),Maximum snow depth (cm),Total snowfall (cm)
0,15.9,8.9,0,0
0,19,5.7,0,0
0,18.3,3.8,0,0
0,15.8,7.8,0,0
0,20.3,3.1,0,0
0,20.2,0.8,0,0
0,14,5.1,0,0
0,12,9.7,0,0
0,15.6,8.8,0,0
0,20.4,3.9,0,0
0,17.3,0,0,0
0,16.8,2.7,0,0
0,19.3,3.3,0,0
0,19.8,7.2,0,0
0,19.9,4.4,0,0
0,18.1,4,0,0
0,18.8,7,0,0
0,18.7,3.1,0,0
0,15.9,0.9,0,0
0,14.4,2.8,0,0
0,13.6,5.2,0,0
0,12.2,8,0,0
0,10.6,5.1,0,0
0,15.1,0.2,0,0
0,12.4,0,0,0
0,9.6,4.9,0,0
0,14.4,0.1,0,0
0,12.4,7.3,0,0
0,9.6,6.8,0,0
0,8.3,9.3,0,0
0,6.5,7.2,0,0
0,8.8,7.5,0,0
0,11.4,8.9,0,0
0,12.9,1.1,0,0
0,12.1,5.7,0,0
0,13.4,7.1,0,0
0,11.7,9.9,0,0
0,13.1,9.5,0,0
0,14.1,5.2,0,0
0,14.2,0,0,0
0,15.6,0.7,0,0
0,14.4,6.4,0,0
0,8.4,2.6,0,0
0,5,5.8,0,0
0,9.7,1.5,0,0
0,12.6,0.4,0,0
0,9.7,5.4,0,0
0,6.4,1.6,0,0
0,6,8.5,0,0
0,8.2,1,0,0
0,9.1,8.5,0,0
0,9.6,8.6,0,0
0,12.4,0,0,0
0,9.4,2.3,0,0
0,3.5,1.3,0,0
0,2.3,8.3,0,0
0,3.7,7.6,0,0
0,6.8,4.7,0,0
0,4.1,0.7,0,0
0,1.3,8.8,0,0
0,2.9,2.1,0,0
0,3.4,8.6,0,0
0,2.6,8.2,0,0
0,6.9,2.1,0,0
0,4.3,8.6,0,0
0,3.1,2,0,0
0,8.7,0,0,0
0,1.6,1.1,0,0
0,2.7,4,0,0
0,4,0.5,0,0
0,2.5,7.2,0,0
0,2.5,8,0,0
0,1.2,8.7,0,0
0,3.3,0,0,0
0,0.5,5.8,0,0
0,1.6,7.1,0,0
0,2.8,0.7,0,0
0,5.7,0,0,0
0,5.1,0.6,0,0
0,2.8,5.3,0,0
0,3.3,2.4,0,0
0,0.8,0.1,0,0
0,2.4,2.3,0,0
0,-1,0.1,0,0
0,-2.2,6.2,0,0
0,-5,5.6,0,0
0,0,0.6,0,0
0,-1.7,5.8,0,0
0,-2.8,5.4,0,0
0,-1.5,7.8,0,0
0,-3.6,4.8,0,0
0,1.8,5.4,0,0
0,-0.8,4.4,0,0
0,-3.9,6.3,0,0
0,-5.8,8.3,2,1
0,-1.2,1.8,2,0
0,0.1,0.4,0,0
0,-2.5,7.7,0,0
0,-3.6,3.3,0,0
0,1.3,4.7,2,2
0,0.9,0,0,0
0,1.3,0,0,0
0,2.3,0,0,0
0,-3.2,0.5,0,0
0,-5.5,4.2,0,0
0,-5.4,6.3,0,0
1,-1.7,0.6,0,0
1,-4.9,0.2,12,12
1,-10,4.8,9,2
1,-13.2,8,5,0
1,-8.2,3.1,3,0
1,-3.3,3.3,0,0
1,-5.1,3,0,0
1,-0.7,4.4,0,0
1,-1.3,1.2,0,0
1,-3.6,7.6,0,0
1,-7.2,7.7,0,0
1,-2.3,3.8,0,0
1,-5.1,0,11,12
1,-5.6,0,13,7
1,-8.8,3.7,14,6
1,-12.5,7.9,11,1
1,-11.8,7.7,8,0
1,-9.3,7.9,6,0
1,-7.7,2.2,6,0
1,-3.1,0.3,7,0
1,-9.3,7.8,6,0
1,-9.4,7.8,4,0
1,-5.2,5.6,3,0
1,-3.6,0.5,1,0
1,-7.5,7.1,2,0
1,-7.6,7.8,2,0
1,-3.9,5.9,2,0
1,-4.9,7.9,0,0
1,-4,4.2,0,0
1,-0.6,2.2,0,0
1,-1.7,0,0,0
1,-2.6,5,0,0
1,-3.3,0,0,0
1,-4.4,7,0,0
1,-5.2,4.2,0,0
1,-1.3,2.6,0,0
1,-4.7,0.4,0,0
1,-7.6,0.1,15,3
1,-15.9,7.2,9,0
1,-8,2.7,17,0
1,-10.7,7,18,0
1,-11.7,7.8,12,0
1,-4.5,0,9,0
1,-2.9,6,6,0
1,-6.5,5.5,4,0
1,-6.3,1.2,4,0
1,-7.9,6.4,5,0
1,-13,3.6,6,0
1,-15.6,2,16,0
1,-6.9,0.1,42,5
1,-8.9,2.6,42,1
1,-9.5,8,32,0
1,-3.2,2.3,27,0
1,-4.4,0,38,0
1,-14.6,8.1,36,0
1,-5,0.3,63,2
1,-13.3,8.3,55,0
1,-10.8,4,49,4
1,-7.8,6.8,49,1
1,-8.9,0.4,63,22
1,-15.5,7.5,61,3
1,-17.3,8,54,0
1,-6.2,0.4,66,19
1,-17.1,6.1,66,0
1,-18.6,7.8,58,0
1,-4.9,0.5,54,5
1,-7.5,4.6,53,0
1,-10.3,4.6,54,5
1,-8.6,6.3,57,4
1,-8.7,3.9,54,3
1,-6.8,5,55,7
1,-10.8,3.9,60,7
1,-10.8,2.8,56,0
1,-11.5,8.5,53,0
1,-5,5,50,1
1,-6.8,5.3,48,4
1,-12.3,7.7,46,0
1,-11.7,9,46,0
1,-8.8,1.4,45,3
1,-6.7,7.8,44,0
1,-7.5,6.7,41,0
1,1.2,0.7,36,2
1,0.3,5.2,28,0
1,-2,6.8,24,2
1,-3.7,8.3,23,1
1,-3.9,4.5,21,0
1,-6.5,5,22,4
1,-7,9,22,0
1,-11.1,9.3,21,1
1,-7.2,6.4,19,0
1,-0.5,1.9,19,4
1,-5.5,2.9,20,6
1,-7.9,9.8,21,0
1,-9.5,8.4,16,0
1,0.4,0,18,8
1,-2.3,4,13,0
1,-6.2,7.3,14,3
1,-10.6,9.9,13,1
1,-6.3,9,11,0
1,-6.5,10,6,0
1,-1.5,10,1,0
1,-3.3,5.9,0,0
1,1.6,8.3,0,0
1,-0.4,10.1,0,0
1,1.8,0,0,0
1,1.1,6.9,0,0
1,0,5.5,0,0
1,-1.3,6.2,0,0
1,-4.1,8,0,0
1,0.8,0,0,0
1,2.6,0.4,0,0
1,-1.7,10.1,0,0
1,-1.2,10,0,0
1,-4.2,0.3,0,0
1,-4.4,3.6,0,0
1,-5.4,7.2,0,0
1,-7.5,10.2,0,0
1,-6.6,10.7,0,0
1,-7.7,10.7,0,0
1,-4.5,10.5,0,0
1,2.1,0.9,0,0
0,-0.5,10.1,0,0
0,-2.1,9.6,0,0
0,-0.5,0,0,0
0,-3.4,8.7,0,0
0,-5.3,10.5,0,0
0,-2.1,10.5,0,0
0,1.5,4.5,0,0
0,3.1,3.7,0,0
0,1.3,2.9,0,0
0,-0.9,6.3,12,0
0,-4.4,11.5,0,0
0,-3,10.4,0,0
0,2.3,6.8,0,0
0,3.9,3.8,0,0
0,7.2,0,0,0
0,2.4,7,0,0
0,-1.4,4.8,1,0
0,-2.3,8.3,3,0
0,-1.9,10.8,0,0
0,-1.1,9.7,1,0
0,3.4,3.9,0,0
0,4.1,7.1,0,0
0,1.7,9.9,0,0
0,5.5,11.3,0,0
0,3.7,11.6,0,0
0,2.9,10.5,0,0
0,7.5,8.8,0,0
0,10.5,8.5,0,0
0,10.6,1.6,0,0
0,11.2,1.2,0,0
0,12.1,2,0,0
0,12.4,0.3,0,0
0,13.7,1.7,0,0
0,6.2,9.2,0,0
0,5.6,8.9,0,0
0,5.1,3.8,0,0
0,8.1,7.3,0,0
0,3.7,11.6,0,0
0,6.7,11.4,0,0
0,9.4,8.8,0,0
0,9.4,10.5,0,0
0,10,10.1,0,0
0,14.9,9.6,0,0
0,5.3,0.8,0,0
0,0.7,8.7,0,0
0,3.8,9.9,0,0
0,6.5,11.2,0,0
0,6.8,7.9,0,0
0,11.4,9.1,0,0
0,7.3,0,0,0
0,7.1,2.8,0,0
0,4.9,6.4,0,0
0,3.3,9.4,0,0
0,5.5,9.5,0,0
0,9,9.9,0,0
0,9.7,7.3,0,0
0,14,8.6,0,0
0,12.9,11,0,0
0,13.7,10.7,0,0
0,13.4,5.6,0,0
0,13.6,0,0,0
0,13.3,0.1,0,0
0,12.1,0,0,0
0,11.3,0,0,0
0,11.3,8.6,0,0
0,11.7,10,0,0
0,12.5,8,0,0
0,11.1,3.7,0,0
0,9.7,9.1,0,0
0,11.3,7.7,0,0
0,9.1,9.6,0,0
0,14.1,8.1,0,0
0,10.2,10.2,0,0
0,12.5,2.3,0,0
0,10.6,0.1,0,0
0,5.9,10.4,0,0
0,6.4,11,0,0
0,10.5,8.3,0,0
0,13.8,6.4,0,0
0,14.1,5.5,0,0
0,12.7,7.3,0,0
0,11.7,7.4,0,0
0,11.6,10.2,0,0
0,13.9,3.2,0,0
0,13.1,3.5,0,0
0,14.9,7.7,0,0
0,13.9,3.4,0,0
0,11.2,3.1,0,0
0,8.4,5.1,0,0
0,6.8,9.1,0,0
0,8.3,8.9,0,0
0,13.3,7.2,0,0
0,11.4,10,0,0
0,10.7,10.2,0,0
0,11.7,8.8,0,0
0,12.4,8.9,0,0
0,17.8,4.7,0,0
0,16.8,0.3,0,0
0,15.4,8.1,0,0
0,14.5,5.2,0,0
0,13,9.4,0,0
0,15,9.3,0,0
0,17,6.5,0,0
0,15.5,3.4,0,0
0,14,5.1,0,0
0,14.9,10.3,0,0
0,14.9,0.6,0,0
0,15,0.1,0,0
0,15.7,4.5,0,0
0,16.5,2.2,0,0
0,17.3,4.6,0,0
0,16.2,6.5,0,0
0,14.6,9.1,0,0
0,16,4.1,0,0
0,15.6,0.9,0,0
0,15.3,0,0,0
0,17,0,0,0
0,18.2,6.3,0,0
0,17.1,4.8,0,0
0,16.7,5.8,0,0
0,18.8,5.4,0,0
0,17.8,7,0,0
0,18.4,0,0,0
0,20.4,4.2,0,0
0,19.2,4.7,0,0
0,17.8,8.7,0,0
0,17.9,8.3,0,0
0,16.4,9.7,0,0
0,16.4,9.9,0,0
0,16.5,6.3,0,0
0,15.3,7.9,0,0
0,19,7.8,0,0
0,17.3,9.4,0,0
0,19.7,3.6,0,0
0,19.3,6.2,0,0
0,18.8,6.8,0,0
0,18.9,0.2,0,0
0,17.9,0.2,0,0
0,18.7,4.3,0,0
0,20,4.6,0,0
0,18.3,6.8,0,0
0,20.3,4.7,0,0
0,20.1,5.9,0,0
0,19.5,4.6,0,0
0,20.7,7.1,0,0
0,19.5,7.9,0,0
0,18.7,5.9,0,0
0,18.7,9.8,0,0
0,22,3.2,0,0
0,19.2,5.2,0,0
0,16.9,6.9,0,0
0,20.1,1.2,0,0
0,19.4,5.6,0,0
0,18.3,7.2,0,0
0,19,6,0,0
0,15.8,2.8,0,0
0,12,9.9,0,0
0,9.4,8.5,0,0
0,13.4,0,0,0
0,13.4,6.5,0,0
0,15.6,3.7,0,0
0,15.3,0,0,0
0,15.2,2,0,0
0,15.8,0,0,0
0,13.7,0,0,0
0,11.8,8.6,0,0
0,10.7,8,0,0
0,13.6,7.8,0,0
0,13.1,5.3,0,0
0,11.8,8.6,0,0
0,11.2,5.2,0,0
0,14,0.7,0,0
0,13.8,0.4,0,0
0,10.3,7.1,0,0
0,8,9.3,0,0
0,10.1,0,0,0
0,13.8,2.6,0,0
0,14.7,1.1,0,0
0,14.2,7.8,0,0
0,15.1,6.4,0,0
0,11.1,6,0,0
0,10.7,7.1,0,0
0,11,4.5,0,0
0,11,8.2,0,0
0,12.1,1.5,0,0
0,9.2,5.7,0,0
0,7.9,7.1,0,0
0,9.3,7.5,0,0
0,7.9,2.4,0,0
0,5.6,9.2,0,0
0,7.2,0,0,0
0,9.8,1.3,0,0
0,8.6,3.3,0,0
0,9.8,2.6,0,0
0,7.4,9.5,0,0
0,7,8.4,0,0
0,4.7,9.7,0,0
0,8.3,7.2,0,0
0,7.5,0.4,0,0
0,4.8,8.6,0,0
0,8.1,5.9,0,0
0,8.5,0.9,0,0
0,7.9,4.5,0,0
0,5.1,9.2,0,0
0,3.5,7.4,0,0
0,1.5,7.4,0,0
0,2.2,3.7,0,0
0,1,3.2,0,0
0,-0.4,8.9,0,0
0,-2.2,9,0,0
0,0,8.7,0,0
0,1.4,8.9,0,0
0,2,8.9,0,0
0,8.1,7.8,0,0
0,8.6,0.3,0,0
0,-0.3,8.4,0,0
0,-2.4,8.7,0,0
0,0.3,8.2,0,0
0,6.8,0.6,0,0
0,7.6,8.6,0,0
0,10.2,0,0,0
0,5.5,7.2,0,0
0,7,2.5,0,0
0,11.3,0,0,0
0,6.6,0.9,0,0
0,1.9,3.2,0,0
0,3,6.6,0,0
0,2.9,7,0,0
0,1.5,2.5,0,0
0,6.6,1.9,0,0
0,4.1,0,0,0
0,2.2,5.3,0,0
0,4.9,4.9,0,0
0,0.9,0.1,0,0
0,-0.5,6.8,0,0
0,1.7,3.7,0,0
0,1.9,0.8,0,0
0,-1.5,0,2,2
0,-1.9,5.4,3,3
0,0.1,0.8,0,0
0,-3.7,1.3,0,0
0,-5.3,8.2,0,0
0,-3,5.6,0,0
0,4.8,4.9,0,0
1,4,3.3,0,0
1,0.8,2.9,0,0
1,-0.9,4.2,0,0
1,-2.6,7.9,0,0
1,-0.8,5.2,0,0
1,-3.4,0.9,0,0
1,-8.2,8,0,0
1,-0.3,3.5,0,0
1,-1.5,2.2,0,0
1,-1.6,5.6,0,0
1,-1.7,4.4,0,0
1,-0.2,4.5,0,0
1,-3.1,5.4,0,0
1,-3,7,0,0
1,-1.6,3.5,0,0
1,-1.4,3.9,0,0
1,0.2,0,0,0
1,-2.4,4.5,0,0
1,-5.1,7.4,0,0
1,-6.7,7.8,0,0
1,-5.4,6.5,0,0
1,-2.1,1,0,0
1,1.2,1.5,0,0
1,3.2,2.5,0,0
1,-0.7,0.1,0,0
1,-0.9,0,8,9
1,-3.9,6.5,7,3
1,-4.7,7,12,11
1,-7.3,7.9,3,4
1,-1.6,0.5,3,5
1,-6.6,5.9,7,7
1,-6.7,5.3,5,3
1,-6.9,6.3,4,4
1,-7.9,4.6,4,3
1,-6,7.5,3,5
1,-6.3,0,5,5
1,0.5,3.1,4,1
1,-0.5,4.7,2,2
1,-0.4,2,0,0
1,-2.9,4.2,0,0
1,-6.7,0,17,22
1,-7.6,6.4,17,6
1,-8.5,0.2,41,33
1,-7.7,1,56,31
1,-4.4,5.5,62,11
1,-6.1,5.5,52,2
1,-9.5,5.8,42,5
1,-2.5,2.5,43,2
1,-2.6,0,46,14
1,-1.9,0.5,52,12
1,-5.9,4.2,59,10
1,-9,0,65,14
1,-8,0.1,72,9
1,-12.6,7.5,67,3
1,-10.7,0.2,71,12
1,-15.4,8.4,67,2
1,-5.6,7.7,60,3
1,-12.3,8.4,54,2
1,-14.1,8.4,52,3
1,-11.4,8.4,47,2
1,-2.9,1.2,48,8
1,-11,8.5,47,1
1,-14.1,7.1,43,2
1,-0.1,0,41,5
1,-6.8,6.9,40,1
1,-10,6.5,39,0
1,-13.4,7.9,38,3
1,-0.8,0,78,43
1,-3.2,0,89,14
1,-5,0,87,8
1,-10,0,96,16
1,-8.2,0.6,102,13
1,-8.3,2.3,96,8
1,-7.8,0,97,9
1,-8,0,101,8
1,-9.9,8.8,97,2
1,-8.7,0,92,8
1,-7,8,89,2
1,-5.2,0,83,6
1,-4.1,3.9,82,4
1,-5.9,3.9,84,13
1,-6.4,0.4,94,14
1,-7.1,4.3,97,3
1,-13.3,8,91,2
1,-12.1,7.7,84,1
1,-2.9,3.3,84,7
1,-4.9,4.9,81,8
1,-4.9,7.5,83,6
1,-5,7.6,83,0
1,-8.1,9.6,78,0
1,-11.9,7.8,77,1
1,0.6,0,74,2
1,-0.3,4.7,66,1
1,-2.4,4.5,59,2
1,-8.1,9.5,58,4
1,-9.7,5.3,61,7
1,-6,8.3,60,4
1,-9.9,9.2,61,5
1,-13,9.9,56,3
1,-3.7,0,59,11
1,-2.5,9.2,60,2
1,-4.2,7.2,52,1
1,-1,0,52,13
1,-7.3,5.7,59,8
1,-6.8,9.6,55,1
1,-5.7,7.1,49,0
1,-0.2,1.6,52,8
1,-5.1,5.5,62,18
1,-13.9,10.3,60,2
1,-9.1,9.6,50,3
1,-2.8,1.4,46,3
1,-0.5,10.3,45,1
1,-1.8,0.6,38,2
1,0.7,1,35,0
1,0.1,5.8,31,1
1,-0.2,9.2,26,1
1,0.3,4.8,24,7
1,-1.7,8.3,17,3
1,-2.5,4,9,1
1,-0.9,2.5,3,0
1,-2.5,6.5,0,0
0,3.4,0.5,0,0
0,3.7,3.9,0,0
0,0.7,10.2,0,0
0,0.7,3.3,0,0
0,0.4,9.8,0,0
0,-0.9,11,0,0
0,1.9,9,0,0
0,2.5,8.6,0,0
0,0.1,10.2,0,0
0,6,0,0,0
0,6.1,7.2,0,0
0,5.9,4.7,0,0
0,3.5,9.5,0,0
0,3.3,8.3,0,0
0,6.6,0,0,0
0,6.6,0.6,0,0
0,6.2,0,0,0
0,4.3,10.2,0,0
0,8.4,0.8,0,0
0,1.8,2.2,0,0
0,-0.7,9.8,0,0
0,7.7,0,0,0
0,4.4,11.3,0,0
0,2.8,11.4,0,0
0,3.2,11.6,0,0
0,4.3,11.1,0,0
0,9.8,9.6,0,0
0,7.3,1.3,0,0
0,8.2,2.5,0,0
0,3.3,8.8,0,0
0,1.7,1.6,0,0
0,4.5,7.4,0,0
0,2,11.9,0,0
0,4.4,11.9,0,0
